"cell","x","y","query.cluster","match","score","subclass","broad_class","cl131_i43_Scgn_Meis2","cl50_i90_Agt_Lamp5","cl89_i60_Clnk_Lamp5","cl65_i72_Tmem223_Lamp5","cl84_i62_NA_Lamp5","cl93_i58_Sln_Lamp5","cl85_i60_Snai2_Lamp5","cl178_i30_Sesn3_Lamp5","cl88_i60_NA_Lamp5","cl113_i48_Dock5_Lamp5","cl138_i41_Has2_Lamp5","cl234_i21_Srd5a1_Lamp5","cl72_i68_Bach2_Lamp5","cl233_i21_Grem2_Lamp5","cl137_i41_NA_Lamp5","cl227_i21_Pla2g4e_Lamp5","cl3_i309_Cpne6_Lamp5","cl114_i47_Tbc1d2b_Lamp5","cl95_i57_Atp12a_Lamp5","cl136_i41_Grtp1_Lamp5","cl238_i20_Cldn1_Lamp5","cl151_i35_Gpr63_Lamp5","cl1003_i21_Sp7_Lamp5","cl147_i37_Clrn1_Sncg","cl12_i155_Crabp1_Sncg","cl180_i29_Nr1h4_Sncg","cl26_i124_Ccser1_Vip","cl34_i116_Nr2e1_Vip","cl170_i32_Rps27rt_Vip","cl221_i22_NA_Vip","cl45_i95_Gsx2_Vip","cl63_i73_Tac2_Vip","cl82_i63_NA_Vip","cl149_i36_Aqp6_Vip","cl57_i83_Myl1_Vip","cl155_i35_Tubb6_Vip","cl18_i146_Car4_Vip","cl39_i103_Rnf138rt1_Vip","cl5_i231_Nov_Vip","cl132_i43_Fbn1_Vip","cl161_i34_Spsb2_Vip","cl198_i24_Bard1_Vip","cl231_i21_Gramd1c_Vip","cl54_i85_Thbs3_Vip","cl36_i104_Rspo4_Vip","cl91_i59_Slc18a3_Vip","cl164_i33_Adra2a_Vip","cl240_i20_Sall1_Vip","cl52_i88_TrnI_Pvalb","cl40_i103_Il7_Pvalb","cl1007_i56_NA_Pvalb","cl90_i59_Rom1_Pvalb","cl115_i47_Rny1_Pvalb","cl22_i134_Esrrg_Pvalb","cl213_i22_Dnhd1_Pvalb","cl135_i42_Ostn_Pvalb","cl188_i26_Cgn_Pvalb","cl119_i46_Ccdc38_Pvalb","cl160_i34_NA_Pvalb","cl9_i166_Tll1_Pvalb","cl53_i85_Dclk2_Pvalb","cl239_i20_Casp9_Pvalb","cl182_i28_Snord42b_Pvalb","cl212_i22_Cemip_Pvalb","cl49_i90_Gpr149_Pvalb","cl153_i35_Mir384_Pvalb","cl241_i20_Fv1_Pvalb","cl169_i32_Wif1_Pvalb","cl185_i27_Slc4a7_Pvalb","cl230_i21_Brca2_Pvalb","cl192_i26_Trim71_Sst","cl249_i20_Tacr3_Sst","cl10_i163_Tacstd2_Sst","cl23_i132_Myh13_Sst","cl11_i160_Pitpnc1_Sst","cl120_i46_Cers6_Sst","cl1004_i65_NA_Sst","cl107_i50_Gpr101_Sst","cl242_i19_Emilin2_Sst","cl21_i137_Thumpd2_Sst","cl58_i81_Tmem255a_Sst","cl232_i21_Spc25_Sst","cl1002_i29_Nts_Sst","cl35_i106_Bcl9_Sst","cl127_i44_Nlrx1_Sst","cl1005_i24_Pcdhb20_Sst","cl202_i24_Ccdc121_Sst","cl79_i65_Tnni3k_Sst","cl223_i22_Rxfp3_Sst","cl248_i20_Lsmem1_Sst","cl207_i23_Phf8_Sst","cl206_i23_Dmrt2_Sst","cl110_i49_Mir3059_Sst","cl158_i35_Cyp2s1_Sst","cl97_i57_Pdyn_Sst","cl246_i20_Igsf1_Sst","cl1006_i68_Hpse_Sst","cl29_i121_Acbd7_Sst","cl166_i33_Has2os_Sst","cl71_e68_Mir153_L23_IT","cl226_e21_TrnL1_L23_IT","cl62_e76_Apaf1_L23_IT","cl123_e45_Zbtb2_L23_IT","cl111_e48_Zar1l_L23_IT","cl103_e53_NA_L23_IT","cl6_e204_Exosc4_L23_IT","cl210_e22_Spaca6_L23_IT","cl102_e53_Tmem74b_L23_IT","cl181_e28_Nfkbid_L23_IT","cl125_e44_Agmat_L23_IT","cl211_e22_Ascl5_L23_IT","cl197_e24_Cfap54_L23_IT","cl142_e38_Mamdc2_L4","cl108_e49_NA_L4","cl1_e421_Cst3_L4","cl186_e26_Zfp882_L4","cl146_e37_Rspo1_L4","cl148_e36_Mmel1_L4","cl163_e33_Nxf7_L4","cl94_e57_Cyp39a1_L4","cl144_e37_Zranb3_L4","cl145_e37_Zfat_L4","cl196_e24_Zfp781_L4","cl174_e30_Zfp433_L4","cl1001_e62_Cryba2_L5_IT","cl4_e253_Lgmn_L5_IT","cl152_e35_Elf2_L5_IT","cl78_e65_NA_L5_IT","cl247_e20_Pah_L5_IT","cl46_e95_Npc1l1_L5_IT","cl1008_e40_NA_L5_IT","cl61_e77_Mir221_L6_IT","cl143_e38_Tmem136_L6_IT","cl8_e168_Adam8_L6_IT","cl191_e26_Chadl_L6_IT","cl81_e63_Msl2_L6_IT","cl48_e91_Csgalnact1_L6_IT","cl2_e381_Rgs2_L6_IT","cl172_e31_Htr6_L6_IT","cl76_e66_Pou2f2_L6_IT","cl162_e33_Gpr52_L6_IT","cl101_e53_Zmiz1os1_L6_IT","cl209_e22_Nphs1_L6_IT","cl112_e48_Slc22a1_L6_IT","cl218_e22_P4ha3_L6_IT","cl217_e22_Dnah14_L6_IT","cl150_e36_Car3_L6_IT","cl44_e96_Chrna6_L5_PT","cl69_e70_Depdc7_L5_PT","cl189_e26_C1ql2_L5_PT","cl190_e26_Cdh15_L5_PT","cl20_e142_Rap2a_L5_PT","cl179_e29_Cldn23_L5_PT","cl126_e44_Traf5_L6_CT","cl27_e121_Gadd45a_L6_CT","cl106_e50_Dlc1_L6_CT","cl17_e147_Gng12_L6_CT","cl187_e26_Teddm2_L6_CT","cl167_e33_Efcc1_L6_CT","cl228_e21_Rev1_L6_CT","cl156_e35_Gpr139_L6_CT","cl214_e22_Rttn_L6_CT","cl66_e71_Serpinb11_L6b","cl37_e104_Mapk13_L6b","cl121_e46_Psd4_L6b","cl74_e68_Napsa_L6b","cl1009_e15_Hsd17b2_L6b","cl38_e104_Chn2_L5_NP","cl205_e23_Zfp28_L5_NP","cl70_e70_Abca12_L5_NP","cl236_e21_Arg2_L5_NP","cl1015_e8_Lhx1os_CR","cl92_n59_Chil1_Astro","cl16_n148_Cml3_Astro","cl116_n47_Lgr6_Astro","cl177_n30_Slc8b1_Astro","cl130_n43_Nat8_Astro","cl219_n22_Pdzph1_Astro","cl77_n66_Rlbp1_Oligo","cl32_n118_Opalin_Oligo","cl1011_n13_Enpp6_Oligo","cl41_n102_Selplg_Macrophage","cl184_n28_Pf4_Macrophage","cl13_n153_Ctla2a_Endo","cl1012_n5_Gkn3_Endo","cl1014_n8_Atp13a5_Peri","cl98_n56_Cnn1_SMC","cl128_n44_ATP8_SMC","cl83_n62_Ccl19_VLMC","cl165_n33_Kdelr3_VLMC","cl1010_n5_Fgfbp1_VLMC","cl1013_n4_Slc26a2_VLMC"
"1144",10968.5744010238,9497.94378711035,"query.iter2_cl1","cl248_i20_Lsmem1_Sst",0.5,"Sst","Inh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1145",15500.7661068633,11119.2073056936,"query.iter3_cl2","cl78_e65_NA_L5_IT",0.243169570646382,"L5 IT","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1146",700.452132048453,5123.56145024596,"query.iter3_cl7","cl218_e22_P4ha3_L6_IT",0.943794707672318,"L6 IT","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1147",11121.5127988212,8704.28203542508,"query.iter2_cl1","cl79_i65_Tnni3k_Sst",0.5,"Sst","Inh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1149",11047.7404240753,16802.1896889043,"query.iter3_cl5","cl196_e24_Zfp781_L4",0.0859286695313997,"L4","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1150",2745.81726210533,8613.78718194285,"query.iter3_cl4","cl189_e26_C1ql2_L5_PT",0.243169570646382,"L5 PT","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1151",11342.5323482431,9472.68600880592,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.775411399194855,"L5 PT","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1154",347.752163997973,11790.1945449809,"query.iter3_cl3","cl145_e37_Zfat_L4",0.80535786345117,"L4","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1155",5472.36490975331,17213.1011486383,"query.iter3_cl0","cl197_e24_Cfap54_L23_IT",0.5,"L2/3 IT","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1156",15114.9078377732,11125.2258629032,"query.iter3_cl2","cl78_e65_NA_L5_IT",0.243169570646382,"L5 IT","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1157",11916.6376858085,12879.6666149777,"query.iter3_cl3","cl145_e37_Zfat_L4",0.926350430688662,"L4","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1158",4332.03612153839,738.576376571086,"query.iter3_cl1","cl156_e35_Gpr139_L6_CT",0.775411399194855,"L6 PT","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1159",17256.0326594538,13257.2242258971,"query.iter3_cl6","cl196_e24_Zfp781_L4",0.5,"L4","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1160",6315.93838474054,8595.70776224612,"query.iter3_cl1","cl228_e21_Rev1_L6_CT",0.5,"L6 PT","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1162",13818.7080100089,10025.7762511794,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.243169570646382,"L5 PT","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1163",15937.026580271,12987.8013955911,"query.iter3_cl3","cl145_e37_Zfat_L4",0.765641708776896,"L4","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1164",16886.6752572509,9287.2768115976,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.243169570646382,"L5 PT","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1165",15972.3359685732,12898.376292574,"query.iter3_cl0","cl111_e48_Zar1l_L23_IT",0.243169570646382,"L2/3 IT","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1166",6497.10301367035,15780.0140016341,"query.iter3_cl0","cl197_e24_Cfap54_L23_IT",0.5,"L2/3 IT","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1167",16954.288491712,9992.99080485967,"query.iter3_cl7","cl218_e22_P4ha3_L6_IT",0.5,"L6 IT","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1168",3811.78696883032,9656.6981074041,"query.iter3_cl4","cl69_e70_Depdc7_L5_PT",0.243169570646382,"L5 PT","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1169",11858.2455039248,17635.1352848381,"query.iter3_cl0","cl197_e24_Cfap54_L23_IT",0.5,"L2/3 IT","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1170",9695.24720596957,15910.9054991262,"query.iter3_cl6","cl145_e37_Zfat_L4",0.5,"L4","Ex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
